Customer ID,Recency,Frequency,Monetary,Cluster1
11.0,560.0,4,945.0,1
15.0,231.0,13,19834.176,2
19.0,644.0,10,5526.0,1
23.0,54.0,14,29576.4,2
22.0,788.0,3,1277.1896,1
30.0,726.0,2,885.0,1
34.0,719.0,2,1135.0,1
37.0,641.0,2,1449.0,1
46.0,753.0,2,4290.0,1
48.0,452.0,7,5540.0,1
49.0,788.0,2,1620.0,1
53.0,776.0,10,6000.0,1
60.0,788.0,3,528.9531,1
68.0,787.0,2,1050.0,1
69.0,612.0,2,439.0,1
70.0,147.0,9,8928.7,2
72.0,772.0,3,8740.0,1
88.0,280.0,7,5340.0,0
93.0,365.0,4,3251.0,0
96.0,523.0,6,5853.0,1
97.0,52.0,3,1994.0,3
100.0,244.0,3,4589.0,0
102.0,283.0,8,13200.0,2
105.0,466.0,3,5297.0,1
127.0,698.0,7,5480.0,1
132.0,245.0,12,28154.2802,2
136.0,632.0,5,4945.0,1
142.0,702.0,2,6480.0,1
143.0,557.0,20,9746.0,2
145.0,788.0,2,780.851,1
150.0,767.0,2,13000.0,1
151.0,530.0,18,4616.0,2
153.0,248.0,5,9796.0,0
172.0,252.0,20,18508.0,2
176.0,700.0,4,72995.0,1
178.0,547.0,3,2579.822,1
183.0,567.0,2,648.0,1
184.0,628.0,4,1050.0,1
191.0,403.0,4,74450.0,0
211.0,774.0,2,380.0,1
213.0,558.0,9,5557.0,1
217.0,754.0,13,4293.0,1
222.0,670.0,4,989.0,1
223.0,645.0,4,3548.0,1
232.0,258.0,5,6325.0,0
241.0,81.0,19,14776.0,2
248.0,180.0,6,4511.535,3
249.0,33.0,2,2976.0,3
250.0,755.0,2,1179.0,1
252.0,279.0,5,32910.0,0
256.0,263.0,12,28910.4,2
257.0,529.0,4,10195.0,1
258.0,464.0,13,7193.988,2
259.0,742.0,6,1210.0,1
260.0,537.0,13,1273.0,2
263.0,786.0,2,3030.0,1
264.0,743.0,4,892.0,1
52.0,506.0,3,6719.0,1
268.0,771.0,2,3700.0,1
279.0,639.0,7,1787.4270999999999,1
293.0,616.0,19,5608.0,2
189.0,380.0,10,8640.44,2
297.0,277.0,2,8208.0,0
298.0,502.0,2,13699.0,1
299.0,135.0,9,5580.845025,2
300.0,245.0,3,1268.0,0
301.0,778.0,2,2100.0,1
302.0,206.0,4,1017.2226,3
307.0,443.0,5,8120.0,0
306.0,214.0,3,3631.0,3
309.0,465.0,3,1616.7371,1
313.0,612.0,3,1658.0,1
315.0,556.0,7,65894.0,1
322.0,668.0,2,695.0,1
325.0,786.0,2,480.0,1
327.0,731.0,5,1823.0,1
332.0,752.0,3,1280.0,1
335.0,754.0,3,840.0,1
340.0,588.0,9,6386.0,1
341.0,642.0,14,1835.0,2
342.0,566.0,8,10400.0,1
345.0,550.0,2,897.0,1
346.0,247.0,9,7329.4,2
348.0,509.0,3,1455.0,1
350.0,748.0,2,2660.0,1
363.0,749.0,2,2700.0,1
367.0,695.0,2,709.0,1
369.0,428.0,2,2465.0,0
371.0,417.0,7,16097.0,0
373.0,712.0,3,960.0,1
376.0,530.0,4,4564.0,1
378.0,786.0,2,2880.0,1
380.0,259.0,18,19482.2851,2
382.0,607.0,4,1970.489,1
390.0,64.0,11,35273.1821,2
391.0,343.0,3,5639.0,0
393.0,486.0,4,3789.0,1
396.0,408.0,7,28517.9008,0
